id,comment,description,element_set_id,name,order,url
75,,Container has Red Label,3,Red Label,,http://cannabismuseum.com/omeka/api/elements/75
76,,Container has contents,3,With Contents,,http://cannabismuseum.com/omeka/api/elements/76
77,,,3,Era,,http://cannabismuseum.com/omeka/api/elements/77
78,,,3,Potentially Re-labeled,,http://cannabismuseum.com/omeka/api/elements/78
79,,"Is a Corn Cure, T/F?",3,Corn Cure,,http://cannabismuseum.com/omeka/api/elements/79
80,,,3,Fake,,http://cannabismuseum.com/omeka/api/elements/80
81,,,3,Web Link,,http://cannabismuseum.com/omeka/api/elements/81
82,,True/False,3,Container Set-TF,,http://cannabismuseum.com/omeka/api/elements/82
83,,Notes on last inventory schedule & results. Also notes on last time item touched,3,Inventory,,http://cannabismuseum.com/omeka/api/elements/83
84,,Dewey Decimal System Number,3,Dewey,,http://cannabismuseum.com/omeka/api/elements/84
85,,Library of Congress Classification number,3,LC Classification,,http://cannabismuseum.com/omeka/api/elements/85
87,,,3,Series,,http://cannabismuseum.com/omeka/api/elements/87
88,,,3,Sub Title,,http://cannabismuseum.com/omeka/api/elements/88
89,,,3,Country,,http://cannabismuseum.com/omeka/api/elements/89
90,,,3,Issue,,http://cannabismuseum.com/omeka/api/elements/90
91,,,3,Pages,,http://cannabismuseum.com/omeka/api/elements/91
92,,,3,Edition,,http://cannabismuseum.com/omeka/api/elements/92
94,,Book/Publication Volume,3,Volume,,http://cannabismuseum.com/omeka/api/elements/94
95,,,3,Genre,,http://cannabismuseum.com/omeka/api/elements/95
96,,,3,Subject,,http://cannabismuseum.com/omeka/api/elements/96
98,,,3,Condition,,http://cannabismuseum.com/omeka/api/elements/98
99,,,3,Current Value,,http://cannabismuseum.com/omeka/api/elements/99
100,,Standard Format: YYYY-MM-DD,3,Modified Date,,http://cannabismuseum.com/omeka/api/elements/100
101,,Standard Format: YYYY-MM-DD,3,Purchase Date,,http://cannabismuseum.com/omeka/api/elements/101
102,,Price of individual item within an order,3,Item Unit Purchase Price,,http://cannabismuseum.com/omeka/api/elements/102
103,,Drop-down list of stores. Please ask Administrator to Add new stores.,3,Purchase Store,,http://cannabismuseum.com/omeka/api/elements/103
104,,,3,Quantity,,http://cannabismuseum.com/omeka/api/elements/104
106,,,3,Photo Notes,,http://cannabismuseum.com/omeka/api/elements/106
107,,"Container Color & Associated ID from drop-down list
1 - White
2 - Amber
3 - Brown
7 - Green
11 - Blue
12 - Yellow Amber
15 - Purple
17 - Clear
19 - Pink",3,Container Color/ID,,http://cannabismuseum.com/omeka/api/elements/107
108,,Links to additional info collected,3,Additional Information,,http://cannabismuseum.com/omeka/api/elements/108
109,,Order ID/Invoice# from seller purchase confirmation,3,Order ID,,http://cannabismuseum.com/omeka/api/elements/109
110,,Identification of Seller Account,3,Seller ID,,http://cannabismuseum.com/omeka/api/elements/110
111,,"Date object arrived to Museum
Standard Format: YYYY-MM-DD",3,Delivery Date,,http://cannabismuseum.com/omeka/api/elements/111
112,,Link to the eBay Thumbnail from the web,3,Ebay Thumbnail,,http://cannabismuseum.com/omeka/api/elements/112
115,,"Seller's listing Title- from eBay, HipPostcards, etc.",3,Listing Title,,http://cannabismuseum.com/omeka/api/elements/115
116,,,3,Seller Notes,,http://cannabismuseum.com/omeka/api/elements/116
117,,Price listed on front cover of Comic Book,3,Comic Price,,http://cannabismuseum.com/omeka/api/elements/117
118,,Doctor who wrote medical prescription,3,Rx Physician,,http://cannabismuseum.com/omeka/api/elements/118
119,,Specific medicine listed on prescription,3,Rx Medicine,,http://cannabismuseum.com/omeka/api/elements/119
120,,Standard Format: YYYY-MM-DD,3,Rx Date,,http://cannabismuseum.com/omeka/api/elements/120
121,,ID number listed on prescription,3,Rx Number,,http://cannabismuseum.com/omeka/api/elements/121
122,,Street/City/State listed on prescription,3,Rx Originating Address,,http://cannabismuseum.com/omeka/api/elements/122
123,,Person item was purchased from,3,Purchased From,,http://cannabismuseum.com/omeka/api/elements/123
124,,Shoe Size in US measurement,3,US Shoe Size,,http://cannabismuseum.com/omeka/api/elements/124
125,,"Tote, Garment, Hat Box, etc.",3,Luggage Style,,http://cannabismuseum.com/omeka/api/elements/125
126,,From Joe's notes in Sheets. Pages where Cannabis is referenced within the book/work.,3,Relevant Pages,,http://cannabismuseum.com/omeka/api/elements/126
127,,From Joe's notes in Sheets: Specific passage from the noted Relevant Page,3,RevPgNote1,,http://cannabismuseum.com/omeka/api/elements/127
128,,From Joe's notes in Sheets: Specific passage from the noted Relevant Page,3,RevPgNote2,,http://cannabismuseum.com/omeka/api/elements/128
129,,HTTP path of photos,3,BC Photo Path,,http://cannabismuseum.com/omeka/api/elements/129
130,,,3,BC Box,,http://cannabismuseum.com/omeka/api/elements/130
131,,Details of condition,3,Condition Notes,,http://cannabismuseum.com/omeka/api/elements/131
132,,Location established by Liz & Steve to use only as Drop-Down menu with Simple Vocab Plug-in,3,New Location,,http://cannabismuseum.com/omeka/api/elements/132
133,,"Denotes the source of the collection, e.g.: Wirthshafter, Horowitz, Goldberry",3,Collection Source,,http://cannabismuseum.com/omeka/api/elements/133
134,,Name of Library with which the book is associated,3,Library Name,,http://cannabismuseum.com/omeka/api/elements/134
136,,"Typically Paper, but also Velvet, Linen, etc.",3,Poster Format,,http://cannabismuseum.com/omeka/api/elements/136
137,,Typically a Drawer of Green Metal or the Wooden Cabinet,3,Small Container Location,,http://cannabismuseum.com/omeka/api/elements/137
138,,,3,Article Format,,http://cannabismuseum.com/omeka/api/elements/138
139,,Typically a storage location.,3,Archive Location,,http://cannabismuseum.com/omeka/api/elements/139
140,,Box numbers for Archive/Storage location,3,Archive Box Location,,http://cannabismuseum.com/omeka/api/elements/140
141,,,3,Letter Originator,,http://cannabismuseum.com/omeka/api/elements/141
142,,,3,Letter Origin Address,,http://cannabismuseum.com/omeka/api/elements/142
143,,,3,Letter Salutation,,http://cannabismuseum.com/omeka/api/elements/143
144,,,3,Letter Recipient,,http://cannabismuseum.com/omeka/api/elements/144
145,,,3,Letter Receipt Address,,http://cannabismuseum.com/omeka/api/elements/145
146,,,3,Dimension-Units,,http://cannabismuseum.com/omeka/api/elements/146
149,,,3,Dimension-Height,,http://cannabismuseum.com/omeka/api/elements/149
150,,,5,User First Name,2,http://cannabismuseum.com/omeka/api/elements/150
151,,,5,User Last Name,3,http://cannabismuseum.com/omeka/api/elements/151
152,,,5,User_Email_01,4,http://cannabismuseum.com/omeka/api/elements/152
153,,Total price of item including Tax & Shipping/Handling for entire order.,3,Order Purchase Price,,http://cannabismuseum.com/omeka/api/elements/153
154,,,3,Shipping Cost,,http://cannabismuseum.com/omeka/api/elements/154
155,,,3,Edition Notes,,http://cannabismuseum.com/omeka/api/elements/155
156,,,3,Political Issue,,http://cannabismuseum.com/omeka/api/elements/156
157,,,3,Municipality,,http://cannabismuseum.com/omeka/api/elements/157
158,,,3,Sign Date,,http://cannabismuseum.com/omeka/api/elements/158
159,,Product being advertised & sold by the business,3,Product,,http://cannabismuseum.com/omeka/api/elements/159
160,,Physical location of original store front,3,Business Location,,http://cannabismuseum.com/omeka/api/elements/160
161,,,3,Certificate Originator,,http://cannabismuseum.com/omeka/api/elements/161
162,,,3,Certificate Origin Address,,http://cannabismuseum.com/omeka/api/elements/162
163,,,3,Certificate Recipient,,http://cannabismuseum.com/omeka/api/elements/163
164,,,3,Certificate Date,,http://cannabismuseum.com/omeka/api/elements/164
165,,Additional Musicians or Vocalists who contributed to the recordings,3,Musicians,,http://cannabismuseum.com/omeka/api/elements/165
166,,Audio or music producer on the recordings,3,Audio Producer,,http://cannabismuseum.com/omeka/api/elements/166
167,,,3,Penciller,,http://cannabismuseum.com/omeka/api/elements/167
168,,,3,Inker,,http://cannabismuseum.com/omeka/api/elements/168
169,,,3,Cover Price,,http://cannabismuseum.com/omeka/api/elements/169
170,,Note regarding Inscription as in from whom or to whom,3,Inscription Note,,http://cannabismuseum.com/omeka/api/elements/170
171,,Printing of a manuscript. Typically numbered like an Edition.,3,Printing,,http://cannabismuseum.com/omeka/api/elements/171
172,,,3,Advertised Price,,http://cannabismuseum.com/omeka/api/elements/172
173,,Tracking number from courier service,3,Pkg Tracking ID,,http://cannabismuseum.com/omeka/api/elements/173
174,,"Board, Cards, Dice, etc.",3,Game Format,,http://cannabismuseum.com/omeka/api/elements/174
175,,Number of players for which the game is designed,3,Number of Players,,http://cannabismuseum.com/omeka/api/elements/175
176,,Number of items included in total order,3,Qty of Items in Order,,http://cannabismuseum.com/omeka/api/elements/176
177,,Drop-down for general condition: Excellent; Good; Average; Fair; Poor or Unstable,3,General Condition,,http://cannabismuseum.com/omeka/api/elements/177
178,,,3,21 Box Location,,http://cannabismuseum.com/omeka/api/elements/178
179,,,3,Bookshelf Location,,http://cannabismuseum.com/omeka/api/elements/179
180,,"Note on delivery: service, estimated Delivery Date, etc.",3,Shipping Notes,,http://cannabismuseum.com/omeka/api/elements/180
181,,An alternative name for the resource. The distinction between titles and alternative titles is application-specific.,1,Alternative Title,,http://cannabismuseum.com/omeka/api/elements/181
182,,A summary of the resource.,1,Abstract,,http://cannabismuseum.com/omeka/api/elements/182
183,,A list of subunits of the resource.,1,Table Of Contents,,http://cannabismuseum.com/omeka/api/elements/183
184,,Date (often a range) that the resource became or will become available.,1,Date Available,,http://cannabismuseum.com/omeka/api/elements/184
185,,Date of creation of the resource.,1,Date Created,,http://cannabismuseum.com/omeka/api/elements/185
186,,Date of acceptance of the resource. Examples of resources to which a Date Accepted may be relevant are a thesis (accepted by a university department) or an article (accepted by a journal).,1,Date Accepted,,http://cannabismuseum.com/omeka/api/elements/186
187,,Date of copyright.,1,Date Copyrighted,,http://cannabismuseum.com/omeka/api/elements/187
188,,Date of submission of the resource. Examples of resources to which a Date Submitted may be relevant are a thesis (submitted to a university department) or an article (submitted to a journal).,1,Date Submitted,,http://cannabismuseum.com/omeka/api/elements/188
189,,"Date of formal issuance (e.g., publication) of the resource.",1,Date Issued,,http://cannabismuseum.com/omeka/api/elements/189
190,,Date on which the resource was changed.,1,Date Modified,,http://cannabismuseum.com/omeka/api/elements/190
191,,Date (often a range) of validity of a resource.,1,Date Valid,,http://cannabismuseum.com/omeka/api/elements/191
192,,"Information about who can access the resource or an indication of its security status. Access Rights may include information regarding access or restrictions based on privacy, security, or other policies.",1,Access Rights,,http://cannabismuseum.com/omeka/api/elements/192
193,,A legal document giving official permission to do something with the resource.,1,License,,http://cannabismuseum.com/omeka/api/elements/193
194,,An established standard to which the described resource conforms.,1,Conforms To,,http://cannabismuseum.com/omeka/api/elements/194
195,,"A related resource that is substantially the same as the pre-existing described resource, but in another format.",1,Has Format,,http://cannabismuseum.com/omeka/api/elements/195
196,,A related resource that is included either physically or logically in the described resource.,1,Has Part,,http://cannabismuseum.com/omeka/api/elements/196
197,,"A related resource that is a version, edition, or adaptation of the described resource.",1,Has Version,,http://cannabismuseum.com/omeka/api/elements/197
198,,"A related resource that is substantially the same as the described resource, but in another format.",1,Is Format Of,,http://cannabismuseum.com/omeka/api/elements/198
199,,A related resource in which the described resource is physically or logically included.,1,Is Part Of,,http://cannabismuseum.com/omeka/api/elements/199
200,,"A related resource that references, cites, or otherwise points to the described resource.",1,Is Referenced By,,http://cannabismuseum.com/omeka/api/elements/200
201,,"A related resource that supplants, displaces, or supersedes the described resource.",1,Is Replaced By,,http://cannabismuseum.com/omeka/api/elements/201
202,,"A related resource that requires the described resource to support its function, delivery, or coherence.",1,Is Required By,,http://cannabismuseum.com/omeka/api/elements/202
203,,"A related resource of which the described resource is a version, edition, or adaptation. Changes in version imply substantive changes in content rather than differences in format.",1,Is Version Of,,http://cannabismuseum.com/omeka/api/elements/203
204,,"A related resource that is referenced, cited, or otherwise pointed to by the described resource.",1,References,,http://cannabismuseum.com/omeka/api/elements/204
205,,"A related resource that is supplanted, displaced, or superseded by the described resource.",1,Replaces,,http://cannabismuseum.com/omeka/api/elements/205
206,,"A related resource that is required by the described resource to support its function, delivery, or coherence.",1,Requires,,http://cannabismuseum.com/omeka/api/elements/206
207,,The size or duration of the resource.,1,Extent,,http://cannabismuseum.com/omeka/api/elements/207
208,,The material or physical carrier of the resource.,1,Medium,,http://cannabismuseum.com/omeka/api/elements/208
209,,A bibliographic reference for the resource. Recommended practice is to include sufficient bibliographic detail to identify the resource as unambiguously as possible.,1,Bibliographic Citation,,http://cannabismuseum.com/omeka/api/elements/209
210,,Spatial characteristics of the resource.,1,Spatial Coverage,,http://cannabismuseum.com/omeka/api/elements/210
211,,Temporal characteristics of the resource.,1,Temporal Coverage,,http://cannabismuseum.com/omeka/api/elements/211
212,,The method by which items are added to a collection.,1,Accrual Method,,http://cannabismuseum.com/omeka/api/elements/212
213,,The frequency with which items are added to a collection.,1,Accrual Periodicity,,http://cannabismuseum.com/omeka/api/elements/213
214,,The policy governing the addition of items to a collection.,1,Accrual Policy,,http://cannabismuseum.com/omeka/api/elements/214
215,,A class of entity for whom the resource is intended or useful.,1,Audience,,http://cannabismuseum.com/omeka/api/elements/215
216,,"A class of entity, defined in terms of progression through an educational or training context, for which the described resource is intended.",1,Audience Education Level,,http://cannabismuseum.com/omeka/api/elements/216
217,,"An entity that mediates access to the resource and for whom the resource is intended or useful. In an educational context, a mediator might be a parent, teacher, teaching assistant, or care-giver.",1,Mediator,,http://cannabismuseum.com/omeka/api/elements/217
218,,"A process, used to engender knowledge, attitudes and skills, that the described resource is designed to support. Instructional Method will typically include ways of presenting instructional materials or conducting instructional activities, patterns of learner-to-learner and learner-to-instructor interactions, and mechanisms by which group and individual levels of learning are measured. Instructional methods include all aspects of the instruction and learning processes from planning and implementation through evaluation and feedback.",1,Instructional Method,,http://cannabismuseum.com/omeka/api/elements/218
219,,"A statement of any changes in ownership and custody of the resource since its creation that are significant for its authenticity, integrity, and interpretation. The statement may include a description of any changes successive custodians made to the resource.",1,Provenance,,http://cannabismuseum.com/omeka/api/elements/219
220,,A person or organization owning or managing rights over the resource.,1,Rights Holder,,http://cannabismuseum.com/omeka/api/elements/220
221,,,3,Episode,,http://cannabismuseum.com/omeka/api/elements/221
222,,List of active ingredients in a medicine,3,Active Ingredients,,http://cannabismuseum.com/omeka/api/elements/222
223,,Note if container has Poison label,3,Poison Label Y/N,,http://cannabismuseum.com/omeka/api/elements/223
224,,"Classification for Value: based on purchase price and/or Historic Significance
1st-High Value: a~$200+  
2nd-Medium Value: a~$50-$200
3rd-Low Value: Below $50
Safe-Worthy of keeping in locked Safe",3,Book Class,,http://cannabismuseum.com/omeka/api/elements/224
225,,,3,Cville Book Shelf,,http://cannabismuseum.com/omeka/api/elements/225
226,,,3,Signed by Artist,,http://cannabismuseum.com/omeka/api/elements/226
227,,,3,MH Note 1,,http://cannabismuseum.com/omeka/api/elements/227
228,,,3,MH Note 2,,http://cannabismuseum.com/omeka/api/elements/228
229,,,3,MH Book Description,,http://cannabismuseum.com/omeka/api/elements/229
230,,,3,Book Info Link,,http://cannabismuseum.com/omeka/api/elements/230
231,,,3,Publisher Location,,http://cannabismuseum.com/omeka/api/elements/231
232,,1-30,3,MH Box#,,http://cannabismuseum.com/omeka/api/elements/232
233,,Edition note from Michael Horowitz,3,MH Edition Note,,http://cannabismuseum.com/omeka/api/elements/233
