Creator,Year,MonthText,Title,tags,url
Bonni Goldstein M. Bonni Goldstein M.D.,2016,1,Cannabis Revealed,2010s,http://cannabismuseum.com/omeka/api/items/1816
Bonni Goldstein M. Bonni Goldstein M.D.,2016,1,Cannabis Revealed,2010s;HannahBkShelf-64;Printed,http://cannabismuseum.com/omeka/api/items/5803
Small Ernest,2016,1,Cannabis,2010s;GuestRoom5-3;Printed,http://cannabismuseum.com/omeka/api/items/1825
Joe Dolce,2016,1,Brave New Weed: Adventures into the Uncharted World of Cannabis,2010s;GuestRoom4-1;Printed,http://cannabismuseum.com/omeka/api/items/2140
Tom Breeden,2016,1,Can I Smoke Pot?,HannahBkShelf-75;Printed;Smoke,http://cannabismuseum.com/omeka/api/items/5859
Jesse Ventura,2016,1,Jesse Venturas Marijuana Manifesto,2010s;Jesse Ventura;Marihuana;Marijuana;Minnesota,http://cannabismuseum.com/omeka/api/items/2162
Jesse Ventura,2016,1,Jesse Venturas Marijuana Manifesto,2010s;HannahBkShelf-56;Jesse Ventura;Marihuana;Marijuana;Minnesota;Needs Photo;Printed,http://cannabismuseum.com/omeka/api/items/5836
Chris Mosquera,2016,1,"Damian Garcia Phd Drug Smuggler, Book Two",2010s;Hash;Hasheesh;Hashish;LSD;Opium;Psychedelic,http://cannabismuseum.com/omeka/api/items/1818
Chris Mosquera,2016,1,"Damian Garcia Phd Drug Smuggler, Book Two",2010s;HannahBkShelf-67;Hash;Hasheesh;Hashish;LSD;Opium;Printed;Psychedelic,http://cannabismuseum.com/omeka/api/items/5804
Bobrow Warren,2016,1,"Cannabis cocktails, mocktails, and tonics",2010s;GuestRoom5-3;Printed,http://cannabismuseum.com/omeka/api/items/1830
Bobrow Warren,2016,1,"Cannabis cocktails, mocktails, and tonics",2010s;GuestRoom5-3;Printed,http://cannabismuseum.com/omeka/api/items/1872
Marie Madeleine,2016,1,The Lost Writings of Marie-Madeleine in the Time of Nazis,1940s;Addiction;Germany;Jews;LGBT;Morphine;Nazi;Poetry;Printed;Sexuality;SS-Horowitz Collection;SS-Previous Collection;Working-Leary,http://cannabismuseum.com/omeka/api/items/7800
Michael Polak,2016,1,Antique Trader Bottles,2010s;GuestRoom6-1;Printed,http://cannabismuseum.com/omeka/api/items/1944
Charles Richet,2016,1,"Poisons of the Intelligence : Hasheesh, Opium and other Narcotics",2010s;Hash;Hasheesh;Hashish;Opium,http://cannabismuseum.com/omeka/api/items/1303
Charles Richet,2016,1,"Poisons of the Intelligence : Hasheesh, Opium and other Narcotics",Hash;Hasheesh;Hashish;Opium,http://cannabismuseum.com/omeka/api/items/2195
Charles Richet,2016,1,"Poisons of the Intelligence : Hasheesh, Opium and other Narcotics",2010s;HannahBkShelf-56;Hash;Hasheesh;Hashish;Needs Photo;Opium;Printed,http://cannabismuseum.com/omeka/api/items/5736
Charles Richet,2016,1,"Poisons of the Intelligence : Hasheesh, Opium and other Narcotics",HannahBkShelf-76;Hash;Hasheesh;Hashish;Opium;Printed,http://cannabismuseum.com/omeka/api/items/5843
Chris Mosquera,2016,1,Damian Garcia: Phd Drug Smuggler ~ Book 1 ~,2010s;Hash;Hasheesh;Hashish;Opium,http://cannabismuseum.com/omeka/api/items/1819
Chris Mosquera,2016,1,Damian Garcia: Phd Drug Smuggler ~ Book 1 ~,2010s;HannahBkShelf-67;Hash;Hasheesh;Hashish;Opium;Printed,http://cannabismuseum.com/omeka/api/items/5805
Henrik Krüger,2016,1,The great heroin coup,2010s,http://cannabismuseum.com/omeka/api/items/1340
Chris Conrad,2015,1,The Newbies Guide to Cannabis & The Industry,2010s,http://cannabismuseum.com/omeka/api/items/1684
Chris Conrad,2015,1,The Newbies Guide to Cannabis & The Industry,2010s;HannahBkShelf-67;Printed,http://cannabismuseum.com/omeka/api/items/5783
Jeffrey Friedland,2015,1,Marijuana: The World's Most Misunderstood Plant,2010s,http://cannabismuseum.com/omeka/api/items/1559
Jeffrey Friedland,2015,1,Marijuana: The World's Most Misunderstood Plant,2010s;HannahBkShelf-56;Printed,http://cannabismuseum.com/omeka/api/items/5769
Julia Lovell,2015,1,The Opium War,HannahBkShelf-52;Opium;Printed,http://cannabismuseum.com/omeka/api/items/6164
Peter Maguire,2015,1,"Thai Stick: Surfers, Scammers, and the Untold Story of the Marijuana Trade",,http://cannabismuseum.com/omeka/api/items/2168
Peter Maguire,2015,1,"Thai Stick: Surfers, Scammers, and the Untold Story of the Marijuana Trade",HannahBkShelf-75;Printed,http://cannabismuseum.com/omeka/api/items/5838
John Potash,2015,1,Drugs as weapons against us,2010s;Cabinet 7 Row 3;GuestRoom7-3;Printed,http://cannabismuseum.com/omeka/api/items/1341
Willie Nelson,2015,1,It's A Long Story,2010s;GuestRoom6-2;Printed,http://cannabismuseum.com/omeka/api/items/1553
Catherine Hiller,2015,1,Just Say Yes: A Marijuana Memoir,2010s;Autobiography;Biography;GuestRoom2-5;Printed,http://cannabismuseum.com/omeka/api/items/1853
Catherine Hiller,2015,1,Just Say Yes: A Marijuana Memoir,Autobiography;Biography,http://cannabismuseum.com/omeka/api/items/2183
Catherine Hiller,2015,1,Just Say Yes: A Marijuana Memoir,Autobiography;Biography;HannahBkShelf-75;Printed,http://cannabismuseum.com/omeka/api/items/5840
Kayo,2015,1,Sinsemilla Technique,2010s;GuestRoom5-2;Printed,http://cannabismuseum.com/omeka/api/items/1773
Johann Hari,2015,1,Chasing the Scream,2010s;GuestRoom2-7;Printed;War on Drugs,http://cannabismuseum.com/omeka/api/items/1200
Tony Dokoupil,2015,1,"The Last Pirate: A Father, His Son, and the Golden Age of Marijuana",2010s;GuestRoom1-1;Printed,http://cannabismuseum.com/omeka/api/items/1894
Tony Dokoupil,2015,1,"The Last Pirate: A Father, His Son, and the Golden Age of Marijuana",2010s;Printed;TempREREScan;TempREscan,http://cannabismuseum.com/omeka/api/items/1895
George J. Douvris,2014,1,Crossing Karma Zones: The Journey Begins,2010s,http://cannabismuseum.com/omeka/api/items/1546
George J. Douvris,2014,1,Crossing Karma Zones: The Journey Begins,2010s;HannahBkShelf-67;Printed,http://cannabismuseum.com/omeka/api/items/5766
Mae Brussell,2014,1,The Essential Mae Brussell,HannahBkShelf-53;Printed,http://cannabismuseum.com/omeka/api/items/6169
Backes Michael,2014,1,Cannabis pharmacy,2010s;GuestRoom4-4;Printed,http://cannabismuseum.com/omeka/api/items/1852
Rosa Waters,2014,1,Marijuana: Legal & Developmental Consequences (Downside of Drugs),GuestRoom2-4;Printed,http://cannabismuseum.com/omeka/api/items/2234
Alfredo Corchado,2014,1,Midnight in Mexico,2010s;GuestRoom4-4;Printed,http://cannabismuseum.com/omeka/api/items/1810
Tina Rappaport,2014,1,Cbd-rich Hemp Oil,2010s;GuestRoom4-3;Printed,http://cannabismuseum.com/omeka/api/items/1808
Roger A. Roffman,2014,1,Marijuana nation,2010s;GuestRoom2-3;Printed,http://cannabismuseum.com/omeka/api/items/1350
Cecil A. Rogers,2014,1,Ride The Tide: adventures of a pot smuggler and tide rider,2010s;GuestRoom7-1;Printed,http://cannabismuseum.com/omeka/api/items/1635
Alyson Martin,2014,1,A New Leaf,2010s;GuestRoom2-7;Printed,http://cannabismuseum.com/omeka/api/items/1318
Alyson Martin,2014,1,A New Leaf,GuestRoom2-7;Printed,http://cannabismuseum.com/omeka/api/items/2196
Miles Barry,2014,1,A Life,Beat Generation;Biography;Printed;SS-Horowitz Collection;SS-Previous Collection;William S. Burroughs;Working-Leary,http://cannabismuseum.com/omeka/api/items/7621
Daniel Estulin,2014,1,Transevolution,2010s;GuestRoom1-4;Printed,http://cannabismuseum.com/omeka/api/items/1336
Natasha Turner,2013,1,"The Supercharged Hormone Diet: A 30-Day Accelerated Plan to Lose Weight, Restore Metabolism, and Feel Younger Longer",GuestRoom4-3;Printed,http://cannabismuseum.com/omeka/api/items/2272
Shohei Manabe,2013,1,Smuggler,2010s;GuestRoom6-1;Printed;Smuggling,http://cannabismuseum.com/omeka/api/items/1322
Fritz Lemmermayer,2013,1,Hashish the Lost Legend,2010s;GuestRoom7-1;Hash;Hasheesh;Hashish;Printed,http://cannabismuseum.com/omeka/api/items/1919
Fritz Lemmermayer,2013,1,Hashish the Lost Legend,2010s;GuestRoom7-1;Hash;Hasheesh;Hashish;Printed,http://cannabismuseum.com/omeka/api/items/1925
Michka,2013,1,Cannabis Médical,2010s;Cannabinoid;Chanvre;Don Wirtshafter;GuestRoom4-4;Illustrated;Marijuana;Medical;Medical Cannabis;Printed;Synthetic,http://cannabismuseum.com/omeka/api/items/1321
Jeffrey Friedland,2013,1,All Roads Lead To China: An Investor Road Map to the World’s Fastest Growing Economy,2010s;GuestRoom1-5;Printed,http://cannabismuseum.com/omeka/api/items/1319
Robert Connell Clarke,2013,1,Cannabis,2010s,http://cannabismuseum.com/omeka/api/items/1860
Henry Vinson,2013,1,Confessions of A D.C. Madame,2010s;GuestRoom1-5;Printed,http://cannabismuseum.com/omeka/api/items/1342
Kevin A. Sabet-Sharghi,2013,1,Reefer Sanity,2010s;GuestRoom2-3;Printed;Reefer,http://cannabismuseum.com/omeka/api/items/2104
S.T. Oner,2013,1,Cannabis Indica Volume 3,Cannabis;Cannabis Indica;Indica,http://cannabismuseum.com/omeka/api/items/2203
Kevin A. Sabet-Sharghi,2013,1,Reefer Sanity,GuestRoom2-2;Printed;Reefer,http://cannabismuseum.com/omeka/api/items/2288
S.T. Oner,2013,1,Cannabis Indica Volume 3,Cannabis;Cannabis Indica;HannahBkShelf-67;Indica;Printed,http://cannabismuseum.com/omeka/api/items/5848
Neil Young,2013,1,Neil Young: Waging Heavy Peace,1960s;2010s;Autobiography;Biography;Canada;Crosby; Stills; Nash & Young;David Crosby;HannahBkShelf-54;Hippie;Marijuana;Music;Neil Young;Ontario;Printed;Toronto;War Resistance,http://cannabismuseum.com/omeka/api/items/6117
P. Bouloc,2013,1,Hemp,2010s;GuestRoom5-3;Printed,http://cannabismuseum.com/omeka/api/items/1806
Jerry Beisler,2013,1,Bandit of Kabul,2010s;Afghanistan;Hash;Hasheesh;Hashish;NewHo;Prnted,http://cannabismuseum.com/omeka/api/items/1922
Dale Gieringer,2013,1,California NORML Guide to Drug Testing,2010s,http://cannabismuseum.com/omeka/api/items/2069
Dale Gieringer,2013,1,California NORML Guide to Drug Testing,2010s;California;Drug;Drug Testing;Guide;Labor;Legalization;Norml;Politics,http://cannabismuseum.com/omeka/api/items/5825
Jeremy Daw JD,2013,1,Weed the People: From Founding Fiber to Forbidden Fruit (Volume 1),2010s;Fiber,http://cannabismuseum.com/omeka/api/items/1169
Jeremy Daw JD,2013,1,Weed the People: From Founding Fiber to Forbidden Fruit (Volume 1),2010s;Fiber,http://cannabismuseum.com/omeka/api/items/1864
Jeremy Daw JD,2013,1,Weed the People: From Founding Fiber to Forbidden Fruit (Volume 1),2010s;Fiber,http://cannabismuseum.com/omeka/api/items/2047
Jeremy Daw JD,2013,1,Weed the People: From Founding Fiber to Forbidden Fruit (Volume 1),2010s;Fiber;HannahBkShelf-67;Printed,http://cannabismuseum.com/omeka/api/items/5720
Jeremy Daw JD,2013,1,Weed the People: From Founding Fiber to Forbidden Fruit (Volume 1),2010s;Fiber;HannahBkShelf-64;Printed,http://cannabismuseum.com/omeka/api/items/5809
Jeremy Daw JD,2013,1,Weed the People: From Founding Fiber to Forbidden Fruit (Volume 1),2010s;Fiber;HannahBkShelf-64;Printed,http://cannabismuseum.com/omeka/api/items/5823
E. David Newton,2013,1,Marijuana,GuestRoom4-4;Printed,http://cannabismuseum.com/omeka/api/items/2266
S.T. Oner,2013,1,Cannabis Sativa Volume 2: The Essential Guide to the World's Finest Marijuana Strains,Cannabis;Cannabis Sativa;Sativa,http://cannabismuseum.com/omeka/api/items/2206
S.T. Oner,2013,1,Cannabis Sativa Volume 2: The Essential Guide to the World's Finest Marijuana Strains,Cannabis;Cannabis Sativa;HannahBkShelf-67;Printed;Sativa,http://cannabismuseum.com/omeka/api/items/5851
S.T. Oner,2012,1,Cannabis Indica Volume 2: The Essential Guide to the World's Finest Marijuana Strains,Cannabis;Cannabis Indica;Indica,http://cannabismuseum.com/omeka/api/items/2204
S.T. Oner,2012,1,Cannabis Indica Volume 2: The Essential Guide to the World's Finest Marijuana Strains,Cannabis;Cannabis Indica;HannahBkShelf-67;Indica;Printed,http://cannabismuseum.com/omeka/api/items/5849
Michael Polak,2012,1,Antique Trader Bottles Identification & Price Guide,2010s;GuestRoom6-1;Printed,http://cannabismuseum.com/omeka/api/items/1945
Mike Jay,2012,1,Drugs in the Nineteenth Century,1800s;2010s;Nineteenth Century;Printed;SS-Horowitz Collection;SS-Previous Collection;Working-Leary,http://cannabismuseum.com/omeka/api/items/7750
Daniel Benjamin,2012,1,Marijuana,GuestRoom4-4;Printed,http://cannabismuseum.com/omeka/api/items/2178
Jason Ryan,2012,1,"Jackpot: High Times, High Seas, and the Sting That Launched the War on Drugs",2010s;GuestRoom2-7;Printed,http://cannabismuseum.com/omeka/api/items/1889
Woodie Watkinson,2012,1,High Wind,,http://cannabismuseum.com/omeka/api/items/2221
Woodie Watkinson,2012,1,High Wind,,http://cannabismuseum.com/omeka/api/items/5858
Noah Berlatsky,2012,1,Marijuana,GuestRoom2-4;Printed,http://cannabismuseum.com/omeka/api/items/2186
Mark Haskell Smith,2012,1,Heart of dankness,2010s;GuestRoom4-2;Printed,http://cannabismuseum.com/omeka/api/items/1733
Lorna A. Rhodes,2012,1,Heart Of Dankness,2010s;GuestRoom4-3;Printed,http://cannabismuseum.com/omeka/api/items/1887
Elias Sassoon,2012,1,Hashish Dreaming,2010s;Hash;Hasheesh;Hashish,http://cannabismuseum.com/omeka/api/items/1916
Elias Sassoon,2012,1,Hashish Dreaming,2010s;HannahBkShelf-56;Hash;Hasheesh;Hashish;Needs Photo;Printed,http://cannabismuseum.com/omeka/api/items/5812
S.T. Oner,2012,1,Cannabis Sativa: The Essential Guide to the World's Finest Marijuana Strains,Cannabis;Cannabis Sativa;Sativa,http://cannabismuseum.com/omeka/api/items/2205
S.T. Oner,2012,1,Cannabis Sativa: The Essential Guide to the World's Finest Marijuana Strains,Cannabis;Cannabis Sativa;HannahBkShelf-67;Printed;Sativa,http://cannabismuseum.com/omeka/api/items/5850
Douglas Waller,2012,1,Wild Bill Donovan,2010s;GuestRoom7-2;Printed,http://cannabismuseum.com/omeka/api/items/1355
Norman Stone,2012,1,Turkey,2010s;Printed;TempREREScan;TempREscan,http://cannabismuseum.com/omeka/api/items/1124
Lloyd Kahn,2012,1,Tiny Homes,2010s;GuestRoom6-1;Printed,http://cannabismuseum.com/omeka/api/items/1365
Ed Rosenthal,2012,1,Medical Marijuana 101,GuestRoom4-4;Printed,http://cannabismuseum.com/omeka/api/items/2190
Michael Steven Smith Michael Ratner,2011,1,Who Killed Che?: How the CIA Got away with Murder,2010s;Bolivia;CIA;GuestRoom4-2;Printed;South America,http://cannabismuseum.com/omeka/api/items/1407
Evan Wright,2011,1,American Desperado,2010s;GuestRoom2-7;Printed,http://cannabismuseum.com/omeka/api/items/1395
Publius,2011,1,The Cannabis Papers,,http://cannabismuseum.com/omeka/api/items/2207
Publius,2011,1,The Cannabis Papers,,http://cannabismuseum.com/omeka/api/items/5852
Publius,2011,1,The Cannabis Papers,,http://cannabismuseum.com/omeka/api/items/6108
Sean Stewart,2011,1,On the Ground,1960s;Civil Liberties;Counterculture;LSD;Paul Krassner;Printed;SS-Horowitz Collection;SS-Previous Collection;Underground;Vietnam War;Weather Underground;Working-Leary,http://cannabismuseum.com/omeka/api/items/7888
Brett Douglas,2011,1,The Golden Gate Smuggling Company,1980s;2010s;California;Columbia;Golden Gate Park;GuestRoom2-7;Marijuana;Printed;San Francisco;Smuggling,http://cannabismuseum.com/omeka/api/items/1467
Jeffrey Dhywood,2011,1,"World War D. The Case against prohibitionism, roadmap to controlled re-legalization",2010s,http://cannabismuseum.com/omeka/api/items/1475
Brett Douglas,2011,1,The Golden Gate Smuggling Company,1980s;2010s;California;Columbia;Crime;Golden Gate Park;Marijuana;San Francisco;Smuggling,http://cannabismuseum.com/omeka/api/items/1811
Jeffrey Dhywood,2011,1,"World War D. The Case against prohibitionism, roadmap to controlled re-legalization",2010s;HannahBkShelf-64;Printed,http://cannabismuseum.com/omeka/api/items/5753
Brett Douglas,2011,1,The Golden Gate Smuggling Company,2010s;California;Columbia;Crime;Golden Gate Park;GuestRoom2-7;Marijuana;NewHo;Printed;Prnted;San Francisco;Smuggling,http://cannabismuseum.com/omeka/api/items/1311
Jeffrey Eugenides,2011,1,The Marriage Plot,2010s;GuestRoom7-1;Printed,http://cannabismuseum.com/omeka/api/items/1131
Pat Ryan,2011,1,Sinsemilla Sinsations,2010s;GuestRoom6-1;Printed,http://cannabismuseum.com/omeka/api/items/1885
Richard R. Mathison,2011,1,The Shocking History of Drugs,HannahBkShelf-54;Printed,http://cannabismuseum.com/omeka/api/items/6097
Clint Werner,2011,1,Marijuana Gateway To Health,2010s;GuestRoom4-3;Printed,http://cannabismuseum.com/omeka/api/items/1548
Hephaestus Books,2011,1,"Articles on Defunct Glassmaking Companies, Including",HannahBkShelf-53;Printed,http://cannabismuseum.com/omeka/api/items/6155
S.T. Oner,2011,1,Cannabis Indica: The Essential Guide to the World's Finest Marijuana Strains,Cannabis;Cannabis Indica;Indica,http://cannabismuseum.com/omeka/api/items/2202
S.T. Oner,2011,1,Cannabis Indica: The Essential Guide to the World's Finest Marijuana Strains,Cannabis;Cannabis Indica;HannahBkShelf-67;Indica;Printed,http://cannabismuseum.com/omeka/api/items/5847
Steve Elliott,2011,1,The Little Black Book of Marijuana,2010s;GuestRoom3-4;Printed,http://cannabismuseum.com/omeka/api/items/1884
Nadia Fouda-Smart,2011,1,The Hashish Waiter,2010s;GuestRoom7-1;Hash;Hasheesh;Hashish;Printed,http://cannabismuseum.com/omeka/api/items/1920
Seamus McGraw,2011,1,The Next Big Play,2010s;GuestRoom1-5;Printed,http://cannabismuseum.com/omeka/api/items/1154
Jim Mahfood,2011,1,Ziggy Marley's Marijuanaman,2010s;Cabinet 7 Row 3;Comic;GuestRoom7-3;Marijuana;Printed;Signed by Author,http://cannabismuseum.com/omeka/api/items/2122
Olatokunboh M. Obasi Msc,2011,1,More Than a Smoke,2010s;Smoke,http://cannabismuseum.com/omeka/api/items/2112
Olatokunboh M. Obasi Msc,2011,1,More Than a Smoke,2010s;HannahBkShelf-56;Needs Photo;Printed;Smoke,http://cannabismuseum.com/omeka/api/items/5827
Trish Regan,2011,1,Joint Ventures,2010s,http://cannabismuseum.com/omeka/api/items/1883
Trish Regan,2011,1,Joint Ventures,GuestRoom1-6;NewHo;Printed;Prnted,http://cannabismuseum.com/omeka/api/items/2274
Subcool,2011,1,DANK 2.0: The Quest for the Very Best Marijuana Continues,2010s;GuestRoom5-3;Printed,http://cannabismuseum.com/omeka/api/items/1877
James Olson,2011,1,The Whole-Brain Path to Peace,2010s;GuestRoom1-2;Printed,http://cannabismuseum.com/omeka/api/items/1419
Robert Merritt and Douglas Caddy,2011,1,Watergate Exposed:How the President of the United States and the Watergate Burglars were set Up,2010s,http://cannabismuseum.com/omeka/api/items/1423
Brigid M. Kane,2011,1,Marijuana,GuestRoom2-5;Printed,http://cannabismuseum.com/omeka/api/items/2182
Robert Merritt and Douglas Caddy,2011,1,Watergate Exposed:How the President of the United States and the Watergate Burglars were set Up,2010s;HannahBkShelf-67;Printed,http://cannabismuseum.com/omeka/api/items/5744
Sandra Steingraber,2011,1,Raising Elijah,2010s;GuestRoom4-4;Printed,http://cannabismuseum.com/omeka/api/items/1420
John Thorndike,2011,1,The Last of His Mind,2010s;GuestRoom2-2;Printed,http://cannabismuseum.com/omeka/api/items/1979
Michael D. Linick Aka Strider,2011,1,Memoirs of a Lawyer and Warrior of the Rainbow,2010s;Autobiography;Biography,http://cannabismuseum.com/omeka/api/items/1470
Michael D. Linick  Aka Strider,2011,1,Memoirs of a Lawyer and Warrior of the Rainbow,2010s;Autobiography;Biography;HannahBkShelf-67;Printed,http://cannabismuseum.com/omeka/api/items/5752
Peter H. Conners,2010,1,White Hand Society,2010s;GuestRoom1-2;Printed,http://cannabismuseum.com/omeka/api/items/1362
Peter H. Conners,2010,1,White Hand Society,2000s;Printed;SS-Horowitz Collection;SS-Previous Collection;White Hand;Working-Leary,http://cannabismuseum.com/omeka/api/items/7661
Denis Peron,2010,1,Aunt Sandy's Medical Marijuana Cookbook,2010s;GuestRoom5-3;Printed,http://cannabismuseum.com/omeka/api/items/1645
Peter Dale Scott,2010,1,American War Machine,2010s;GuestRoom7-2;Printed,http://cannabismuseum.com/omeka/api/items/1460
John Nores Jr.,2010,1,War in the Woods: Combating the Marijuana Cartels on Americaâ€™s Public Lands,GuestRoom2-6;Printed,http://cannabismuseum.com/omeka/api/items/2189
Steve Bloom,2010,1,Reefer Movie Madness,1930s;1970s;2010s;420;Culture;GuestRoom6-2;Hollywood;Movie;Pot;Printed;Reefer;Reefer Madness,http://cannabismuseum.com/omeka/api/items/1474
Steve Bloom,2010,1,Reefer Movie Madness,1930s;1970s;2010s;420;Culture;GuestRoom6-2;Hollywood;Movie;Pot;Printed;Reefer;Reefer Madness,http://cannabismuseum.com/omeka/api/items/2030
John Geluardi,2010,1,Cannabiz: The Explosive Rise of the Medical Marijuana Industry,,http://cannabismuseum.com/omeka/api/items/2191
John Geluardi,2010,1,Cannabiz: The Explosive Rise of the Medical Marijuana Industry,HannahBkShelf-67;Printed,http://cannabismuseum.com/omeka/api/items/5841
William Daniel Drake,2010,1,The International Cultivators Handbook,2010s;Hash;Hasheesh;Hashish;Opium,http://cannabismuseum.com/omeka/api/items/1822
William Daniel Drake,2010,1,The International Cultivators Handbook,Hash;Hasheesh;Hashish;Opium,http://cannabismuseum.com/omeka/api/items/2197
William Daniel Drake,2010,1,The International Cultivators Handbook,2010s;HannahBkShelf-56;Hash;Hasheesh;Hashish;Opium;Printed,http://cannabismuseum.com/omeka/api/items/5806
William Daniel Drake,2010,1,The International Cultivators Handbook,HannahBkShelf-56;Hash;Hasheesh;Hashish;Needs Photo;Opium;Printed,http://cannabismuseum.com/omeka/api/items/5845
Christopher B. Gray,2010,1,The Acid Diaries,2010s;Acid;LSD;Printed;SS-Horowitz Collection;SS-Previous Collection;Working-Leary,http://cannabismuseum.com/omeka/api/items/7717
Christopher B. Gray,2010,1,The Acid Diaries,2010s;Acid;LSD;Printed;SS-Horowitz Collection;SS-Previous Collection;Working-Leary,http://cannabismuseum.com/omeka/api/items/7718
Aleister Crowley,2010,1,The Drug and Other Stories,2000s;Aleister Crowley;Printed;SS-Horowitz Collection;SS-Previous Collection;Working-Leary,http://cannabismuseum.com/omeka/api/items/7665
